gender,age,country,results_count,effective_sample_size,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,education
all,all,GT,5930,3189.57,0.725824518,0.102329696,0.171845785,College/University
all,all,FR,63855,44239.81,0.441426479,0.279003362,0.262666466,College/University
all,all,JP,61307,21949.182,0.573970345,0.106539625,0.317765251,College/University
all,all,MN,3687,1243.663,0.689091094,0.122088292,0.188820613,College/University
all,all,SN,3959,1853.477,0.392959331,0.360188684,0.246851986,College/University
all,all,AF,4914,1144.832,0.777215042,0.096116828,0.12666813,College/University
all,all,GE,5047,2065.537,0.390703429,0.312124703,0.297171868,College/University
all,all,MX,59287,29438.144,0.718497429,0.099325996,0.175932299,College/University
all,all,BR,60785,36809.947,0.759525233,0.093968927,0.137129606,College/University
all,all,AR,61354,32960.962,0.641381307,0.13949645,0.20572641,College/University
all,all,PH,58723,24749.799,0.49607614,0.21595883,0.285472393,College/University
all,all,VE,6351,4384.111,0.67967284,0.117102384,0.203224776,College/University
all,all,SG,5259,3361.884,0.672913943,0.125580537,0.20150552,College/University
all,all,MA,5706,2211.345,0.443255792,0.254033724,0.302710484,College/University
all,all,IT,63676,35583.687,0.663675023,0.123808458,0.191510832,College/University
all,all,ID,61706,33444.599,0.531204191,0.196995243,0.259889257,College/University
all,all,TH,62509,37748.037,0.749941195,0.112332979,0.136298032,College/University
all,all,TW,4216,1619.509,0.604256796,0.167693239,0.228049965,College/University
all,all,PL,66043,41802.659,0.457699411,0.278282158,0.241261498,College/University
all,all,RO,63325,32949.364,0.469113019,0.272237731,0.220787542,College/University
all,all,ES,6111,3715.325,0.541898575,0.165135889,0.292965536,College/University
all,all,JM,4522,3102.8,0.311203651,0.339946493,0.348849856,College/University
all,all,MM,5492,1817.105,0.826907802,0.065922409,0.107169789,College/University
all,all,CO,61028,35727.129,0.650709395,0.146688939,0.200478346,College/University
all,all,BD,57442,13480.076,0.770398488,0.083526857,0.110799267,College/University
all,all,CI,5394,2040.695,0.495809711,0.258151831,0.246038458,College/University
all,all,TR,62632,27514.947,0.520873781,0.201620854,0.257007499,College/University
all,all,PK,56461,16697.844,0.645814448,0.172515739,0.173968419,College/University
all,all,PE,5873,3473.189,0.712008279,0.113367376,0.174624346,College/University
all,all,TT,5715,2852.901,0.469852081,0.217881638,0.31226628,College/University
all,all,EC,5693,3153.517,0.723647253,0.112203054,0.164149694,College/University
all,all,IQ,5426,2254.08,0.650955167,0.170612103,0.17843273,College/University
all,all,AZ,4042,2569.259,0.290402091,0.420296344,0.289301565,College/University
all,all,KR,6225,3034.329,0.780786108,0.098215499,0.120998393,College/University
all,all,AU,5676,4333.903,0.734250646,0.107589388,0.158159966,College/University
all,all,IN,61567,18418.841,0.723992112,0.109744683,0.146081992,College/University
all,all,KE,6409,3154.716,0.712296427,0.160501031,0.127202542,College/University
all,all,VN,64560,20921.982,0.821734294,0.063559964,0.113279386,College/University
all,all,US,58557,30062.776,0.514046483,0.210754983,0.206835318,College/University
all,all,NP,5760,1530.181,0.762334046,0.092363247,0.145302707,College/University
all,all,UY,5520,3178.062,0.56194254,0.177610489,0.260446971,College/University
